food_name,dairy,gluten,fodmap,keto,meat,fruit,vegetable,grains,fish_seafood,legume,sugar_syrup,acohols,fried_high_fat,raw
ham,0,0,0,1,1,0,0,0,0,0,0,0,0,0
sausage,0,0,1,1,1,0,0,0,0,0,0,0,1,0
soylent,0,0,1,0,0,0,0,0,0,1,0,0,0,0
whey protein,1,0,1,1,0,0,0,0,0,0,0,0,0,0
beef curry,0,0,1,0,1,0,1,0,0,0,0,0,1,0
crab fried rice,0,1,1,0,0,0,0,1,0,1,0,0,1,0
pad thai,0,1,1,0,1,0,1,1,0,1,0,0,1,0
doritos,0,1,1,0,0,0,0,1,0,0,0,0,0,0
lactose-free milk,1,0,1,0,0,0,0,0,0,0,0,0,0,0
honey bunches of oats,0,1,1,0,0,0,0,1,0,0,1,0,0,0
tea leaf salad,0,1,1,0,0,0,1,0,0,0,0,0,0,1
ginger beer,0,1,1,0,0,0,0,0,0,0,0,1,0,0
vodka,0,0,0,0,0,0,0,0,0,0,0,1,0,0
meatball sandwich,1,1,1,0,1,0,0,1,0,0,0,0,0,0
salmon,0,0,0,1,0,0,0,0,0,1,0,0,0,0
cookies,1,1,1,0,0,0,0,1,0,0,1,0,0,0
bell pepper,0,0,0,1,0,0,1,0,0,0,0,0,0,1
squash,0,0,0,1,0,0,1,0,0,0,0,0,0,1
oatmeal,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bagel sandwich,1,1,1,0,0,0,0,1,0,0,0,0,0,0
banana,0,0,1,0,0,1,0,0,0,0,0,0,0,1
peach,0,0,1,0,0,1,0,0,0,0,0,0,0,1
egg mcmuffin,1,0,1,0,1,0,0,1,0,0,0,0,1,0
chocolate,1,0,0,0,0,0,0,0,0,0,0,0,0,0
blueberries ,0,0,0,1,0,1,0,0,0,0,0,0,0,1
babaganoush,0,0,0,0,0,0,1,0,0,0,0,0,0,0
israeli salad,,1,,0,,,,,,,0,0,,1
lasagna,1,1,1,0,1,0,1,1,0,0,0,0,0,0
pickle,0,0,0,1,0,0,1,0,0,0,0,0,0,1
mcflurry,1,0,1,0,0,0,0,0,0,0,1,0,1,0
coco rice crispy cereal,,1,0,0,0,0,0,1,0,0,1,0,0,0
tacos,1,0,1,0,1,0,1,1,1,1,0,0,1,0
starbucks frappuccino,1,0,1,0,0,0,0,0,0,0,1,0,0,0
strawberries,0,0,0,1,0,1,0,0,0,0,0,0,0,1
cake,1,1,1,0,0,0,0,1,0,0,1,0,0,0
potato,0,0,0,0,0,0,1,0,0,0,0,0,0,0
potato fries,0,0,0,0,0,0,1,0,0,0,0,0,1,0
steak,0,0,0,1,1,0,0,0,0,0,0,0,0,0
cheesecake,1,1,1,0,0,0,0,1,0,0,0,0,0,0
eggplant,0,0,0,1,0,0,1,0,0,0,0,0,0,
lettuce,0,0,0,1,0,0,1,0,0,0,0,0,0,1
mayo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tomato,0,0,0,1,0,1,1,0,0,0,0,0,0,1
mushroom,0,0,1,1,0,0,1,0,0,0,0,0,0,0
olive oil,0,0,0,1,0,0,0,0,0,0,0,0,1,0
chicken,0,0,0,1,1,0,0,0,0,0,0,0,0,0
chili sauce,0,0.5,,0,0,0,0,0,0,0,0,0,0,0
orange juice,0,0,1,0,0,1,0,0,0,0,0,0,0,
croissant,1,1,1,0,0,0,0,1,0,0,0,0,1,0
soup,,,,0,1,0,1,1,0,0,0,0,0,0
beef,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ginger ale,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sour cream,1,0,1,1,0,0,0,0,0,0,0,0,0,0
potatoes,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kiwi,0,0,0,0,0,1,0,0,0,0,0,0,0,1
champagne,0,0,,0,0,0,0,0,0,0,0,0,0,0
watermelon,0,0,1,1,0,1,0,0,0,0,0,0,0,1
carrot soup,0,0,0,0,0,0,1,0,0,0,0,0,0,0
risotto,1,0,1,0,0,0,0,1,0,0,0,0,0,0
shrimp,0,0,0,1,0,0,0,0,1,0,0,0,0,0
rice,0,0,0,0,0,0,0,1,0,0,0,0,0,0
curry,0,,1,0,1,0,0,1,0,0,0,0,0,0
smoked salmon,0,0,0,1,0,0,0,0,0,1,0,0,1,0
cream cheese,1,0,1,1,0,0,0,0,0,0,0,0,1,0
bacon,0,0,0,1,1,0,0,0,0,0,0,0,0,0
bagel,0,1,1,0,0,0,0,1,0,0,0,0,0,0
hot chocolate,1,0,0,0,0,0,0,0,0,0,1,0,0,0
sauerkraut,,0,1,1,0,0,1,0,0,0,0,0,0,1
waffle,,1,1,0,0,0,0,1,0,0,0,0,0,0
whipped cream,1,0,0,1,0,0,0,0,0,0,0,0,1,0
gravy,1,1,1,0,1,0,0,0,0,0,0,0,0,0
pork,0,0,0,1,1,0,0,0,0,0,0,0,0,0
sorbet,0,0,0,0,0,0,0,0,0,0,1,0,0,0
milk,1,0,1,0,0,0,0,0,0,0,0,0,0,0
sugar,0,0,0,0,0,0,0,0,0,0,1,0,0,0
salami,0,0,0,1,1,0,0,0,0,0,0,0,1,0
gnocchi,1,1,1,0,0,0,0,1,0,0,0,0,0,0
la croix water sparkling can natrl,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dates,0,0,0,0,0,1,0,0,0,0,0,0,0,1
matzah ,0,1,1,0,0,0,0,1,0,0,0,0,0,0
chocolate ,1,0,0,0,0,0,0,0,0,0,1,0,0,0
rice ,0,0,0,0,0,0,0,1,0,0,0,0,0,0
lamb,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bamba,,,,,,,,,,,,,,
beets,0,0,0,0,0,0,1,0,0,0,0,0,0,1
wine,0,0,0,0,0,0,0,0,0,0,0,1,0,0
egg sandwich,1,1,1,0,0,0,0,1,0,0,0,0,0,0
cheeseburger ,1,1,1,0,1,0,0,1,0,0,0,0,1,0
peanut butter panda puffs,0,0,0,0,0,0,0,1,0,1,0,0,0,0
peanut butter,0,0,0,1,0,0,0,0,0,1,0,0,0,0
skydeck salad,,,,,,,,,,,,0,,
kc masterpiece original barbecue sauce,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pork rib,0,0,0,1,1,0,0,0,0,0,0,0,1,0
mac and cheese,1,1,1,0,0,0,0,1,0,0,0,0,1,0
jolly time popcorn,0,0,0,0,0,0,0,1,0,0,0,0,0,0
beans,0,0,1,0,0,0,0,0,0,1,0,0,0,0
coke classic,0,0,1,0,0,0,0,0,0,0,1,0,0,0
panda puffs,0,0,0,0,0,0,0,1,0,0,0,0,0,0
eggs,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bibimbap,0,1,1,0,1,0,1,1,0,0,0,0,0,1
tomato sauce,0,0,0,0,0,1,1,0,0,0,0,0,0,0
dim sum,0,1,1,0,1,0,1,1,1,0,0,0,1,0
wings,0,1,1,1,1,0,0,0,0,0,0,0,1,0
green beans,0,0,0,1,0,0,1,0,0,0,0,0,0,
dumplings,0,1,1,0,1,0,1,1,1,0,0,0,1,0
meatballs,1,1,1,1,1,0,0,0,0,0,0,0,0,0
sushi,0,0,0,0,0,0,0,1,0,1,0,0,0,
yogurt,1,0,1,0,0,0,0,0,0,0,0,0,0,0
saucy asian bowl,0,1,1,0,,,,,,,0,0,,0
zucchini ,0,0,0,1,0,0,1,0,0,0,0,0,0,1
pita chips,0,1,1,0,0,0,0,1,0,0,0,0,0,0
burger,0,1,1,0,1,0,0,1,0,0,0,0,1,0
kebab sandwich,0,1,1,0,1,0,0,1,0,0,0,0,1,1
white bread,0,1,1,0,0,0,0,1,0,0,0,0,0,0
toast,0,1,1,0,0,0,0,1,0,0,0,0,0,0
protein shake,,0,depends,1,0,0,0,0,0,0,0,0,0,0
spinach,0,0,0,1,0,0,1,0,0,0,0,0,0,1
pad kee mau ,,1,0,0,1,0,1,1,1,0,0,0,1,0
thai iced tea,1,0,1,0,0,0,0,0,0,0,1,0,0,0
shawarma wrap,1,1,1,0,1,0,1,1,0,0,0,0,1,1
lemon,0,0,0,1,0,1,0,0,0,0,0,0,0,1
honey,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ginger,0,0,0,1,0,0,1,0,0,0,0,0,0,1
broth,0,0,0,1,1,0,0,0,0,0,0,0,0,0
rice noodle,0,0,0,0,0,0,0,1,0,0,0,0,0,0
onion,0,0,1,1,0,0,1,0,0,0,0,0,0,1
almonds,0,0,0,1,0,0,0,0,0,0,0,0,0,1
corn,0,0,0,0,0,0,0,1,0,0,0,0,0,1
whole grain rolled oats,0,0,0,0,0,0,0,1,0,0,0,0,0,0
brown sugar,0,0,0,0,0,0,0,0,0,0,1,0,0,0
whole grain wheat,0,1,1,0,0,0,0,1,0,0,0,0,0,0
wheat flour,0,1,1,0,0,0,0,1,0,0,0,0,0,0
malted barley flour,0,1,1,0,0,0,0,1,0,0,0,0,0,0
salt,0,0,0,1,0,0,0,0,0,0,0,0,0,0
canola oil,0,0,0,1,0,0,0,0,0,0,0,0,0,0
corn syrup,0,0,1,0,0,0,0,1,0,0,1,0,0,0
tomato sauce ,0,0,0,0,0,1,1,0,0,0,0,0,0,0
thai sauce,0,0,1,0,0,0,0,0,0,0,0,0,0,0
soy protein isolate,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cocoa,0,0,0,1,0,0,0,0,0,0,0,0,0,0
organic cane syrup,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cane sugar,0,0,0,0,0,0,0,0,0,0,1,0,0,0
organic brown rice syrup,0,0,0,0,0,0,0,0,0,0,1,0,0,0
unsweetened chocolate,0,0,0,1,0,0,0,0,0,0,0,0,0,0
organic soy flour,0,0,1,1,0,0,0,0,0,1,0,0,0,0
organic roasted soybeans,0,0,1,1,0,0,0,0,0,1,0,0,0,0
rice flour,0,0,0,0,0,0,0,1,0,0,0,0,0,0
organic oat fiber,0,0,0,1,0,0,0,1,0,0,0,0,0,0
organic rolled oats,0,0,0,0,0,0,0,1,0,0,0,0,0,0
organic high oleic sunflower oil,0,0,0,1,0,0,0,0,0,0,0,0,0,0
carrot puree,0,0,0,1,0,0,1,0,0,0,0,0,0,1
sodium phosphate,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cooked white chicken meat,0,0,0,1,1,0,0,0,0,0,0,0,0,0
sea salt,0,0,0,1,0,0,0,0,0,0,0,0,0,0
garlic powder,0,0,1,1,0,0,0,0,0,0,0,0,0,0
potassium chloride,0,0,0,1,0,0,0,0,0,0,0,0,0,0
corn protein (hydrolyzed),0,0,0,0,0,0,0,1,0,0,0,0,0,0
natural flavor,0,0,0,1,0,0,0,0,0,0,0,0,0,0
onion powder,0,0,1,1,0,0,1,0,0,0,0,0,0,0
tomatoes,0,0,0,1,0,1,1,0,0,0,0,0,0,1
modified food starch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wild rice,0,0,0,0,0,0,0,1,0,0,0,0,0,0
yeast extract,0,0,0,1,0,0,0,0,0,0,0,0,0,0
celery,0,0,1,1,0,0,1,0,0,0,0,0,0,1
carrots,0,0,0,1,0,0,1,0,0,0,0,0,0,1
chicken fat,0,0,0,1,1,0,0,0,0,0,0,0,1,0
maltodextrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parsley,0,0,0,1,0,0,1,0,0,0,0,0,0,1
chicken broth,0,0,0,1,1,0,0,0,0,0,0,0,0,0
whey protein isolate ,1,0,1,1,0,0,0,0,0,0,0,0,0,0
apricot,0,0,1,0,0,1,0,0,0,0,0,0,0,1
salsa,0,0,1,1,0,1,1,0,0,0,0,0,0,1
flour tortilla ,0,1,1,0,0,0,0,1,0,0,0,0,0,0
quinoa,0,0,0,0,0,0,0,2,0,0,0,0,0,0
maple syrup,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cream,1,0,0,1,0,0,0,0,0,0,0,0,0,0
lox,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ricotta cheese,1,0,1,1,0,0,0,0,0,0,0,0,0,0
pear,0,0,1,0,0,1,0,0,0,0,0,0,0,1
pepperoni,0,0,0,1,1,0,0,0,0,0,0,0,0,0
grape leaves,0,0,0,1,0,0,1,0,0,0,0,0,0,1
pastrami,0,0,0,1,1,0,0,0,0,0,0,0,0,0
provolone cheese,1,0,0,1,0,0,0,0,0,0,0,0,0,0
filtered water,0,0,0,1,0,0,0,0,0,0,0,0,0,0
thiamin hydrochloride,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sodium selenite,0,0,0,1,0,0,0,0,0,0,0,0,0,0
phytonadione,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sucralose,0,0,0,1,0,0,0,0,0,0,0,0,0,0
copper gluconate,0,0,0,1,0,0,0,0,0,0,0,0,0,0
soluble corn fiber,0,0,0,,0,0,0,0,0,0,0,0,0,0
choline chloride,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dl-alpha-tocopheryl acetate,0,0,0,1,0,0,0,0,0,0,0,0,0,0
d-calcium pantothenate,0,0,0,1,0,0,0,0,0,0,0,0,0,0
manganese sulfate,0,0,0,1,0,0,0,0,0,0,0,0,0,0
riboflavin,0,0,0,1,0,0,0,0,0,0,0,0,0,0
high oleic sunflower oil,0,0,0,1,0,0,0,0,0,0,0,0,0,0
vitamin d,0,0,0,1,0,0,0,0,0,0,0,0,0,0
chromium chloride,0,0,0,1,0,0,0,0,0,0,0,0,0,0
zinc oxide,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cellulose,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sodium molybdate,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tricalcium phosphate,0,0,0,1,0,0,0,0,0,0,0,0,0,0
vitamin a palmitate,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gellan gum,0,0,0,1,0,0,0,0,0,0,0,0,0,0
folic acid,0,0,0,1,0,0,0,0,0,0,0,0,0,0
magnesium phosphate,0,0,0,1,0,0,0,0,0,0,0,0,0,0
biotin,0,0,0,1,0,0,0,0,0,0,0,0,0,0
isomaltulose,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ascorbic acid,0,0,0,1,0,0,0,0,0,0,0,0,0,0
potassium iodide,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ferrous bisglycinate,0,0,0,1,0,0,0,0,0,0,0,0,0,0
niacinamide,0,0,0,1,0,0,0,0,0,0,0,0,0,0
natural and artificial flavors,0,0,0,1,0,0,0,0,0,0,0,0,0,0
soy lecithin,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pyridoxine hydrochloride,0,0,0,1,0,0,0,0,0,0,0,0,0,0
alkalized cocoa powder,0,0,0,1,0,0,0,0,0,0,0,0,0,0
carrot,0,0,0,1,0,0,1,0,0,0,0,0,0,1
eggplant ,0,0,0,1,0,0,1,0,0,0,0,0,0,1
peanut sauce,0,1,0,0,0,0,0,0,0,1,0,0,1,0
rice noddle,0,0,0,0,0,0,0,1,0,0,0,0,0,0
crab,0,0,0,1,0,0,0,0,1,0,0,0,0,0
oats,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cucumber,0,0,0,1,0,0,1,0,0,0,0,0,0,1
oreo cookies,0,1,0,0,0,0,0,1,0,0,1,0,0,0
cacao powder,0,0,0,1,0,0,0,0,0,0,0,0,0,0
corn tortilla,0,0,0,0,0,0,0,1,0,0,0,0,0,0
carbonated water,0,0,0,1,0,0,0,0,0,0,0,0,0,0
matzah ball,0,1,1,0,0,0,0,1,0,0,0,0,0,0
broccoli,0,0,0,1,0,0,1,0,0,0,0,0,0,0
peas,0,0,1,0,0,0,1,0,0,0,0,0,0,0
red onion,0,0,1,1,0,0,1,0,0,0,0,0,0,1
parmesan cheese,1,0,0,1,0,0,0,0,0,0,0,0,1,0
arugula ,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"tomato puree (water, tomato paste)",0,0,0,1,0,1,1,0,0,0,0,0,0,0
molasses,0,0,1,0,0,0,0,0,0,0,1,0,0,0
spices,0,0,0,1,0,0,0,0,0,0,0,0,0,0
natural flavors,0,0,0,1,0,0,1,0,0,0,0,0,0,0
dried onion,0,0,1,1,0,0,0,0,0,0,0,0,0,0
caramel color,0,1,0,1,0,0,0,0,0,0,0,0,0,0
paprika extracts,0,0,0,1,0,0,0,0,0,0,0,0,0,0
high fructose corn syrup,0,0,1,1,0,0,0,0,0,0,1,0,0,0
vinegar,0,0,0,1,0,0,0,0,0,0,0,0,0,0
natural hickory smoke flavor,0,0,0,1,0,0,0,0,0,0,0,0,0,0
xanthan gum,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dried garlic,0,0,1,1,0,0,0,0,0,0,0,0,0,0
turmeric,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tricalcium phosphate,0,0,0,1,0,0,0,0,0,0,0,0,0,0
yellow 5 lake,0,0,0,1,0,0,0,0,0,0,0,0,0,0
phosphoric acid,0,0,0,1,0,0,0,0,0,0,0,0,0,0
caffeine,0,0,0,1,0,0,0,0,0,0,0,0,0,0
soy sauce,0,1,0,1,0,0,0,0,0,0,0,0,0,0
turkey,0,0,0,1,1,0,0,0,0,0,0,0,0,0
cabbage,0,0,0,1,0,0,1,0,0,0,0,0,0,1
doe,,,,,,,,,,,0,0,,
fish,0,0,0,1,0,0,0,0,1,0,0,0,0,0
tuna,0,0,0,1,0,0,0,0,1,0,0,0,0,0
kimchi,0,0,,1,0,0,1,0,0,0,0,0,0,1
onion,0,0,1,1,0,0,1,0,0,0,0,0,0,1
spicy sauce,0,1,1,0,0,0,0,0,0,0,0,0,0,0
glass noodle,0,0,0,0,0,0,0,1,0,0,0,0,0,0
nutella,1,0,1,0,0,0,0,0,0,0,1,0,0,0
chili,0,0,0,,0,0,0,0,0,0,0,0,0,0
duck,0,0,0,1,1,0,0,0,0,0,0,0,1,0
garlic,0,0,1,1,0,0,1,0,0,0,0,0,0,1
rice noodles,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tea,0,0,0,1,0,0,0,0,0,0,0,0,0,0
walnuts,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cashew milk,0,0,0,1,0,0,0,0,0,0,0,0,0,0
honey,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cinnamon,0,0,0,1,0,0,0,0,0,0,0,0,0,0
oatmeal,0,0,0,0,0,0,0,1,0,0,0,0,0,0
coffee,0,0,0,1,0,0,0,0,0,0,0,0,0,0
blackberries,0,0,1,1,0,1,0,0,0,0,0,0,0,1
thin mints,0,1,1,0,0,0,0,1,0,0,1,0,0,0
lettuce,0,0,0,1,0,0,1,0,0,0,0,0,0,1
pretzel sticks,0,1,0,,0,0,0,1,0,0,0,0,0,0
carrot,0,0,0,1,0,0,1,0,0,0,0,0,0,1
olive oil,0,0,0,1,0,0,0,0,0,0,0,0,0,0
radish,0,0,0,1,0,0,1,0,0,0,0,0,0,1
quinoa,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kohlrabi,0,0,0,1,0,0,1,0,0,0,0,0,0,1
chia seeds,0,0,0,1,0,0,0,0,0,0,0,0,0,0
vinegar,0,0,0,1,0,0,0,0,0,0,0,0,0,0
raisins,0,0,1,,0,1,0,0,0,0,0,0,0,0
almonds,0,0,0,,0,0,0,0,0,0,0,0,0,0
potato,0,0,0,,0,0,1,0,0,0,0,0,0,0
mustard,0,0,0,,0,0,0,0,0,0,0,0,0,0
balsamic vinegar,0,0,0,,0,0,0,0,0,0,0,0,0,0
chicken,0,0,0,,1,0,0,0,0,0,0,0,0,0
coconut yogurt,0,0,0,,0,0,0,0,0,0,0,0,0,0
jalapeno,0,0,0,,0,0,1,0,0,0,0,0,0,1
chris mix,,,,,,,,,,,,,0,0
red pepper,0,0,0,0,0,0,1,0,0,0,0,0,0,1
chick peas,0,0,1,,0,0,0,0,0,1,0,0,0,0
lime,0,0,0,1,0,1,0,0,0,0,0,0,0,1
kale,0,0,0,1,0,0,1,0,0,0,0,0,0,1
cucumber,0,0,0,1,0,0,1,0,0,0,0,0,0,1
eggs,0,0,0,1,0,0,0,0,0,0,0,0,0,0
scone,0,1,1,,0,0,0,1,0,0,1,0,0,0
cheese,1,0,1,1,0,0,0,0,0,0,0,0,1,0
lactose,,,1,,0,0,0,0,0,0,0,0,0,0
beef,0,0,0,1,1,0,0,0,0,0,0,0,0,0
dates,0,0,1,0,0,1,0,0,0,0,0,0,0,1
flour,0,1,1,0,0,0,0,1,0,0,0,0,0,0
cocktail,0,0,0,0,0,0,0,0,0,0,0,1,0,0
eggplant,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pomegranate,0,0,1,0,0,1,0,0,0,0,0,0,0,1
gnocchi,1,1,1,0,0,0,0,1,0,0,0,0,0,0
arrabiata tomato sauce,0,0,0,1,0,1,1,0,0,0,0,0,0,0
blueberry coconut yogurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sugar,0,0,0,0,0,0,0,0,0,0,1,0,0,0
iced tea,0,0,0,1,0,0,0,0,0,0,0,0,0,0
garlic,0,0,1,1,0,0,1,0,0,0,0,0,0,0
lemon juice,0,0,0,1,0,1,0,0,0,0,0,0,0,0
hummus,0,0,1,0,0,0,0,0,0,1,0,0,0,0
chocolate,0,0,,0,0,0,0,0,0,0,1,0,0,0
raisin pecan bread,0,1,1,0,0,1,0,1,0,0,0,0,0,0
bacon,0,0,0,1,1,0,0,0,0,0,0,0,1,0
butter,1,0,0,1,0,0,0,0,0,0,0,0,1,0
raspberry coconut yogurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tomato sauce,0,0,0,1,0,1,1,0,0,0,0,0,0,0
eggplant stir fry,0,1,1,0,0,0,1,0,0,0,0,0,1,0
cantaloupe,0,0,0,0,0,1,0,0,0,0,0,0,0,1
cake,1,1,1,0,0,0,0,1,0,0,1,0,0,0
pasta,0,1,1,0,0,0,0,1,0,0,0,0,0,0
pistachios,0,0,1,1,0,0,0,0,0,0,0,0,0,0
pork,0,0,0,1,1,0,0,0,0,0,0,0,1,0
mint,0,0,0,1,0,0,1,0,0,0,0,0,0,1
broccoli,0,0,0,1,0,0,1,0,0,0,0,0,0,0
caesar dressing,0,0,1,,0,0,0,0,1,0,0,0,0,0
croutons,0,1,1,0,0,0,0,1,0,0,0,0,0,0
coconut orange ice cream,0,0,0,,0,0,0,0,0,0,1,0,0,0
blueberries,0,0,0,1,0,1,0,0,0,0,0,0,0,1
cheerios,0,0,0,0,0,0,0,1,0,0,0,0,0,0
avo blt,0,1,1,0,1,1,1,1,0,0,0,0,1,1
french fries,0,0,0,0,0,0,1,0,0,0,0,0,1,0
raspberry jam,0,0,0,0,0,1,0,0,0,0,1,0,0,0
maple syrup,0,0,1,0,0,0,0,0,0,0,1,0,0,0
wine,0,0,,0,0,0,0,0,0,0,0,1,0,0
cookies,1,1,1,0,0,0,0,1,0,0,1,0,0,0
taza chocolate,0,0,0,0,0,0,0,0,0,0,1,0,0,0
red cabbage,0,0,0,1,0,0,1,0,0,0,0,0,0,1
goya lentils,0,0,0,0,0,0,0,0,0,1,0,0,0,0
orange juice,0,0,1,0,0,1,0,0,0,0,0,0,0,1
summer squash,0,0,0,1,0,1,1,0,0,0,0,0,0,1
bread,0,0,1,0,0,0,0,1,0,0,0,0,0,0
zucchini,0,0,0,1,0,1,1,0,0,0,0,0,0,1
tahini sauce,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kind bar,0,0,1,,0,1,0,1,0,0,0,0,0,0
raspberries,0,0,0,1,0,1,0,0,0,0,0,0,0,0
orange bread,0,1,1,0,0,1,0,1,0,0,1,0,0,0
18 rabbits bar,0,0,0,0,0,1,0,1,0,0,0,0,0,0
cucumber salad,0,0,0,1,0,0,1,0,0,0,0,0,0,1
jalapeno chips,0,0,1,0,0,0,1,0,0,0,0,0,0,0
egg,0,0,0,1,0,0,0,0,0,0,0,0,1,0
honey roasted peanuts,0,0,0,0,0,0,0,0,0,1,1,0,1,0
marshmallow,0,0,1,0,0,0,0,0,0,0,1,0,0,0
avocado,0,0,1,1,0,1,1,0,0,0,0,0,1,1
guacamole,0,0,1,1,0,1,1,0,0,0,0,0,0,1
green valley blueberry yogurt lactose free,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lavender biscuit,1,1,1,0,0,0,0,1,0,0,1,0,0,0
belgian waffle,1,1,1,0,0,0,0,1,0,0,1,0,0,0
coconut milk,0,0,0,1,0,0,0,0,0,0,0,0,0,0
strawberries,0,0,0,1,0,1,0,0,0,0,0,0,0,1
coconut redi whip,,,0,1,0,0,0,0,0,0,0,0,1,0
salami sopressata,0,0,1,1,1,0,0,0,0,0,0,0,1,0
pepperoni,0,0,1,1,1,0,0,0,0,0,0,0,1,0
spinach,0,0,0,1,0,0,1,0,0,0,0,0,0,1
peeps,0,0,1,0,0,0,0,0,0,0,1,0,0,0
pumpkin everything soup,,,,,0,0,1,0,0,0,0,0,0,0
pear,0,0,1,0,0,1,0,0,0,0,0,0,0,1
chocolate walnut scone,1,1,1,0,0,0,0,1,0,0,1,0,1,0
raisin bread,1,1,1,0,0,1,0,1,0,0,0,0,0,0
halva,,,1,0,0,0,0,1,0,0,1,0,0,0
strawberries ,0,0,0,1,0,1,0,0,0,0,0,0,0,1
moyzilla,,,,,,,,,,,,,,0
